reviews,Judgement
"I'm an educator and was using Evernote but all my journals got erased bc I was using the free version and not much space. Searched several other applications but many were basic and I couldn't ever do what I could with Evernote until I tried ONEnote. This application does everything and more that Evernote does plus I can type up a note on my computer and pick up where I left off on my iPhone and iPad! ONEnote syncs everywhere and I have tons of backup space! I can create notes, insert pics, files, music, audio clips, videos etc! I love it! It's Evernote plus more! Awesome application!",1
:),0
The game keeps crashing FIX IT!!!!!,1
Excellent application,0
Great!! I was able to call family abroad for almost 1 hr . Good reception.,1
I haven't used it much and don't know what it looks like on the other end but so far I like it. I'm going to send myself a copy.,0
Nice,0
An Ad network connection in Pro? Apparently has ad network connections inPro:( Has problems with poor internet connection. Hangs up.,1
"This app is invaluable for capturing meeting notes - specifically flip chart or white board notes from business meetings. This aids in getting accurate, timely follow up to my clients.",1
I love it it's way better then the regular twitter app and it also attracts more followers I got 10 new followers having this thing it's amazing,0
"I updated it... But this update made the game crash when I want to play a race.Please update it again, double check if the update works very well for the app. And please, don't fail SEGA. :|",1
No Music? I've tried reinstalling multiple times on a few different devices but there's No Soundtrack.,1
Oneplus 2 The best app for twitter nice,0
Talking to family in Czech Republic from US and worked fine...:).,1
Worth the money Excellent twitter client.,0
Clear signal. No issues with Europe Wi-Fi.,1
"Many ways to access your notes I like one note because I can create notes at home, at work, on the tablet or on the phone and have access to it anywhere(comes with office 2010 or as a free download.  My old phone was win mobile 6 and it had a notes feature but the file format is not compatible with anything. If you have win 7 you can print to one note but so far win 8 does not have the printer installed I wish ms would fix this. There are 3rd party apps but if it was a printer it could be printed to by more than web browsers!",1
Will not allow status updates to be posted to FB even with all permissions set and always crashes.,1
"Perfection! I love this app!! Finally coughed up the most amount of dough I've ever spent on an app for the pro version and it was more than worth it! Best Twitter client ever! Not to mention the only one I've ever used with a full ""interactions"" page and not just mentions and DMs.",1
Great app. A very good app. Works well. I like it. Try it and you will like it too.,0
"Fantastic! freezes constantly, rendering the app useless.",1
Excellent app,0
S5 Issues Options/Settings aren't available on Galaxy S5. Any reasons why?,1
Im+pro Love this app,0
Good Very good app. Nothing in this world is perfect though.,0
Amazing and flawless app,0
App needs to be updated to be standard. :/,0
TweetCaster Sloppy interface! I absolutely HATE the fact that your followers' profile names don't highlight automatically. This forces the user to HAVE TO remember every url if they want to send a mention. This is terrible because most people FREQUENTLY change these names!,1
Does not work well with iOS 9. Hope and update is coming soon.,1
I survived in Japan with Viber.,0
I use this application over a year ago I communicate with my relatives and friends in Colombia all day,1
The only one I use It is verry good app. I use it daily. Thanks,0
Love it! Does what it's supposed to do and I love the dark background.,0
"ArashI like viber, and will call friend to it!",0
Tnx,0
"3 months later, still no iPhone 5 support.  Clearly a crippled version of OneNote.  Want to indent, create numbered lists, or format text?  Sorry, you need to buy a Windows Phone for that.  The message is clear:  iPhone users, you're second-class citizens with OneNote.  Stick to Evernote or any other note-taking app that doesn't suffer from conflicts of interest.",1
A very great App !!,0
"It works well on my HTC Inspire 4G, a very nice app",1
Facebook login results in a page not found.,1
Awesome Its so cool,0
I like it because It helps us to contact my friend easily,0
"This game is really fun! When you get the app, shut off your device and turn it back on because then it never crashes anymore! The controls are really good, I love the tracks and everything! It's so fun to play!;)",1
"good quality of voice, may add lots of prime features",0
Good app,0
"Another interesting and entertaining idea from the developer of the endless game Crossy Road. Just one recommendation for the developer - please add more power slots, as just 3 is too limited. I will add the fifth star when, hopefully, more power slots are added. Thank you.",1
Good job.,0
"I use it to make off versions of hires images to email, and synced checklists with my wife.",1
"What it does, it does fine. It needs notifications and in-line photo display, though.",1
Great app Very convenient,0
Shuts down phone I like this app the beat but after agood recent update it restarts my phone if im on too long.,1
"I love this app more than anything in my phone.i capture everything that i do on a daily basis and keep my notes synced in Skydrive. When my colleagues needs something, I just email them a page from my note and it goes to them in a neat PDF document which is so cool..I don't know if I can ever get away from this app or I could get something similar ever..",1
Best app ever... Thank you,0
Good to have hooked on to viber. Very good communication App.,0
Great scanner app for small jobs.,0
"Love this app as my boyfriend is in Hong Kong. Saving us a lot of money! I would love if this app would allow for me to change ringtones. You also can't share a file and message in the same text. Copy and paste features aren't available, etc. can't wait for future iterations.",1
OK. Needs to be faster to play,1
"This is a ghost app! Doesn't really work! No support for a stylus, can't even enter details on a ask the community support page. It think its just a super sized iPhone app for reading onenote files created elsewhere.",1
My trends won't update or show at all and I wish there were more themes. Other than that it's great though.,1
TweetCaster,0
"OneNote helps me organize my notes by topic. I especially love it because I can create and access all of my notes from my iPhone, my Kindle fire, and my laptop. And dictating notes on my iPhone is icing on the cake.",1
I couldnt even finish one race without it crashing! And it seems like a really good game too. Please fix this ASAP! And then it will have 5 stars :),1
My number 1 application,0
"Hi, The new update has problems. When i open a contact to msg him, the keyboard is open but letters are all blank, and it shuts down by it self.",1
It'5 fun r8 fiv3 $tars,0
Works for me just fine 👍,0
"The app is cool, I can easily type anywhere, draw anywhere. Please add an image resize and a tool to move the text around and resize the drawings around. Over all, this is an awesome app!",1
I like it a lot .,0
Error code 80004005 Not running due to this error. It occurred while retrieving notes from already created account.,1
I like it,0
"I love the game! And I LOVE sonic. Mostly shadow but is it me or when the screen is kinda far from egg face, he does magic and makes his arms MAGICLY DISSAPEER OHH AHH but other than that awesome game! Keep it up Sega!",1
"Fix the bugs, and you've got a 5 star app. I like you can update multiple twitter accounts, FB all at once",1
Years with smart phones and I finally found the perfect notes app,0
Thank you for your best services,0
Good app,0
Mine says could not authenticate with OAuth idk what it means. Anybody could help me? Find me @XYZ,1
This is the best free up.,0
I loved it although am facing a problem with sending direct masseges,1
Google Keep Is Far Better Than This Shit I Understand That You Are King Of Pc's OS But Android Is Not Where You Meant To Be,0
Very good app no complaints allows me to talk overseas to my kids whenever for free and it's pretty clear,0
"I have been a daily Skype user for years. Could not live without it either at home or at work. Just discovered Viber and found that a lot of my friends found it ahead of me! I was astonished at how easy the set up was, and the call quality is great. Skype still has many more features, more ability to customize, etc. but I'm sure this is all coming with Viber. I am not giving up on Skype, especially since I use it from my computer at work most of the time, but Viber is a great new addition to the communications suite.",0
"It's saves you money and helps to be close to your loved one when you are away. I use DID Groundwire app, Skype, Google Voice and few other apps and services when travel in Europe or Asia. Viber works better then all of them. EZ to call and text. Only minus- no video calls...",1
"Pretty great app, when in a tweet and I tag a friend in it, their twitter name never comes up... Highly annoying",0
Very good and wonderful program,0
Great,0
The best without the Ads,0
"AAA+++I have NEVER experiencing something like VIBER before!! The sound Quality it's like the person over seas was like seating next to me!!!I'm amazing, thank you so much VIBER!!!!",1
"I like it a lot even though the communication is broken, it is an excellent tool.",1
"Superb, mind blowing. Wish it could be used on old Nokia phones (currently have SMS platform only).",0
Syncs well,1
"I like the game but it keeps on crashing every 5, 6, 7, minutes.Please fix this problem, it is anoying",1
"Update just broke the app Use it daily but maybe not anymore, the update just bricked the app.",1
pacman good,0
I like it. The new update is so good to work with.,0
It's pretty good compared to the real Twitter,0
It doesn't start at the last tweet viewed Its a good app byt evrytime I opened it starts at the last tweet posted not at the last tweetd I viewed.  Its annoying cause I missed all the previous tweets that I didnt see. Please fix that,1
It's excellent.the service is too good.its a blessing in disguise,0
"I've been using this onenote for 5 years in my desktop. When the app came out for Ipad, i wasn't impressed so i tried other apps. But when i tried this updated onenote, i was totally hooked again and i think i'll be sticking with this one. Good job guys!",0
Dope shizz my nizz Use it on all devices.,0
Nice Every day must have app,0
The mobile version got me to finally begin using onenote! Excellent all storage facility,1
Performs as expected. The layout works well on a mobile device. Syncs well with all other versions on desktop and mobile devices. I recommend OneNote without any reservations.,1
Cant post to my facebook Can connect to my facebook updates! Fix,1
Only app getting worse. Now has popups for a candy game that takes you from a tweet to the app store. Stalls every time  you write a tweet. Trying to keep it for the zip feature but its getting ridiculous.,1
Almost perfect,0
Excellent quality on wifi as well as cellular data. Must have app for smartphones.,1
Title says all.,0
Great program and ability to sync it across all my devices makes it my favorite,1
"
The best thing is that your contacts are already synchronized and ready to talk",1
Amazing game! I can't stop playing,0
Won't even work because it can't authenticate my account? What does that even mean. So annoyed,0
Let's say that this is the best game/app EVER i liked it ever since i was a kid and now here it is with good quality and everything .. In love,0
"Wasted $5! Can't compose a tweet, the app crashes and does not work. Allows you to read tweets but I can't tweet myself. It was a total waste of money and now I will have to download another app just to be able to tweet. Very disappointed.",1
Cool game,0
"I do not have any problems with this game, plus it's free!",0
I love that all of my information is linked seamlessly from device to device.  This app version is very user friendly.,1
Yes its reall really awesome,0
Good for stress relief,0
Awesome fun and addictive,0
V nice,0
Add push notification!,1
"Great App but need save to sd ability The ability to create a searchable notebook that I could add photos and drawing to was perfect. However. As you can't transfer information without using onedrive has rendered this app useless. My workplace deals with sensitive information and prohibits use of external servers such as onedrive etc. If the app was able to save to my phones sd, I could manually transfer the file across to my work pc. It truely is the best notebook app that I am unable to used.",1
Viber was the one the best social app ever but there is problem for iPhone 6 plus...Please optimize this app for iPhone 6 plus.,1
Really good,0
Thank you for this app Please support notifications on ipad and mute Arabic words,1
Crashes The latest update causes a lot of forced closes for me. Never experienced this before in the years that I had this app. Please fix.,1
this is a great free calling and texting app. I use it to talk to my father overseas as well as with my girl in any situation. The text feature rocks right along with the video chat feature. it's a must get app!👌👍,1
"As a student with limited scanner access, this is the best app imaginable. Fast and easy!",1
Every time I start a race it crashes,1
Good,0
Great app!,0
Good viber,0
Samsung galaxy 4s Awesome,0
"ZERO If I could give zero, then YOU DESERVE IT! cuz who give you the permission to connect MY TWITTER WITH FACEBOOK.  the problem is that you didn't even ask my permission, yet asdfghjkl connecting it between both!?  That's totally over crossed the line of people's privacy! 3:(",1
"I opened the iPhone version this morning.  It reminded me to upgrade to the iPad version, which as the prior reviewer noted correctly isn't available.  Pretty good odd it is coming soon given this message.  So, where is the Macintosh version of this software?",1
Just awesome!!,0
My boy traveled all over the Middle East and we were able to stay in touch the whole time because of this fantastic app. Calls were so clear. Texts and sending pics worked great! Thank you!,1
Hello,0
Its better than skype,0
Not without flaws (editing) but very useful,1
I find it much better than uber.,0
So so at best.  Lots of drops and lots of static,1
The best Twitter App! Too good to be true. But it is. ^^,0
It's awesome. Perfect,0
come back 2 saudia,0
"Can't sync more than one notebook I didn't expect to take note with it, only to read my notes taken with my computer. But it can only sync one notebook, and that still took forever. And you can't easily export the content of your note either. Very disappointed.",1
Is it similiar The game is really fun to play but is it similiar to cross road cause that's what I think?,0
"Truly yes When I enter the apps,missing the tweet",1
"I never use a twitter app better that this one! Is awesome, high recommended",1
"When you Follow several prolific Twitter accounts, and don't get any updates for days, y'know it's not just you. It's the app. I deleted it and reinstalled and updated once, and stopped soon after. Too bad, this was a great Twitter feed app.",1
Thank you Finally fixed the Facebook issue. Five stars after a week.,1
"I was very excited when I saw this app pop up.  It was the one thing that was keeping me from buying an ipad.  But when I finally got logged in, I couldn't see any of my ink, much less anter any free hand content.  This is the power of onenote, and it's completely impotent.",1
"For the most part, slow sometime though",1
Used to be good until the last update. Tried contacting the company for advice and they never responded. Don't use this app and certainly don't spend money on it.,1
"Amazing app, works perfect with my family and clients around the world!",0
Love it Love it! Wish we could view recent pics on twitter profiles though!,1
"It keeps crashing on me. I'm sure its a great game, but for some reason it wont let me play",1
Viber is my life Can make free calls free video messages omg wat will they create again,1
"Hours of time wasted I spent weeks taking notes on both my laptop and inking on my Note 10.1. In several of my pages, I went back to find that large segments of inked text somehow migrated onto other segments above and below. Unbelievably disappointed. Devistatingly  unreliable.",1
My girlfriend got this app so we can talk while she was in England. And since I was new to the iPhone it was easy to learn and use. The texting is awesome and fast and the calls work like a charm.,1
The most recent update improved the speed. Thanks.,1
This program is more than a refresher,0
WARNING!! Only tilt mode gimmick available. Will give it another chance when on screen directional Controls make an appearance.,1
Notifications It's true. Turn off notifications and I was still getting them. It's a pain...,1
A,0
Best game ever,0
FUN! Verry hard,0
Good Does what it's supposed to do.,0
Awesome App. I'm in the process of self mastery and all my notes from material that I read goes on One Note. I even have my vision board on One Note as well.,1
Can some one teach me how this app works,0
IM + Pro works great. This is a great way to get away from my desktop.,0
Love it!!,0
Been using it while traveling back and forth to the Dominican Republic for a couple of years now and have not experienced any issues.,1
Excellent,0
A good tool on and offline,0
Great and very usefull for calling abroad,0
It's a very useful App that I can't live without any more.,0
IM+ Excellent all in one IM,0
This game is really fun! I love it,0
Better than original,0
"Now I'm in contact with Russia all the time for no costs!!! So easy to use, that even my parents figure it out! Just love it!!!",1
"I love this game. From the start I was hooked, and I played for 3 hours straight. The graphics are great, and this game lived up to my desires. The best part about the game is that it's FREE. This is worth getting.",1
Very good Great app for tweets,0
Another update and still no iphone 6 support. Come on.,1
Was working fine but new version occasionally drops added notes,1
"I've been looking forward to seeing any MS Office mobile apps for iOS, and onenote is pretty good for the first MS Office app. I really like how it links with office live web apps which can be synced with the onenote desktop app. I can't wait until MS makes Word, Excel, and PowerPoint.",1
"Overheating too much yes, this is the best twitter client so far but new features of 'Who retweeted this' should not be changed, beforehand we don't have to go to the link for that features  one more thing profile viewer features of more than one profile please make updated version just like usual. Other else, it overheated too much and many advertisements please look into this. Anything else is perfect make it more smooth u r the best among all",1
"There's times it has good quality but theres also poor quality and the echo is really bad, you can only hear yourself talking but it fixes the problem when you disconnect/end call and reconnect again/call.",1
"Pretty good Has trouble with Vines and doesn't display quoted tweets in line (normally), but I still prefer it over the twitter app",1
very useful and cost effective especially if u have to make international calls,1
what's happening not conmecting to twitter server for few days now,1
Best game ever,0
Excellent tool for tweeting Organizes my thoughts and allows me to quickly share them with others.  I use this the majority of the time vs. my pc.,0
"After using Tweetcaster for a couple years I had an issue for several months where it adamantly refused to let me even log in to my Facebook, nevermind trying to post to it. I switched to Hootsuite and lost a couple features for stability. Elected to try this one again and all was mostly well, but now I can't view pictures in the timeline anymore. If I click on them it opens Safari, and unless I log in there I can't view my friends' pics if their account is private (which most are). Very irritating. Looks like I'm going back to Hootsuite, at least for now.",1
Couldn't ask for a better twitter app!,0
Wonderful 😊,0
Awesome and very much helpful,0
Good Great game,0
etails It does not allow to use the keyboard when the PEN is extracted from a Samsung Note tablet. I do not understand why they do not implement simple and functional details like the ability to share a note or select the entire note to copy it to the clipboard? It is a very good tool but there are some simple things that would make it match the competition ... another is the creation of the sections from the Android client ...,1
"Easy to use, highly recommend",0
"Great Very useful for keeping track of all sorts and in one document and, available on all devices",0
I love OneNote and use it across my devices.  The user experience on my phone is almost as fast as a native app and feels great to use.,1
"Add ms. Pacman, and miru from PAC AND PAL.",0
I LOVE IT! Good memories of this old game and love the new angle and some new characters like Glitchy.,1
"Won't let me retweet a person with a private account. Besides that, everything is good",1
This would be the beat twitter app o it didn't crash so often and if you could get it to post to Facebook but most o the time there is trouble. I love it when it works and cuss it most of the time because it doesn't. Also the support from onelouder is terrible. They always say to uninstall & reinstall. Done that 3 times!!!,1
Worked from Africa!,0
"Downhill Brilliant client, great support",0
Easy to use. Quality scans and provides almost all the controls you could want. My only suggestion is to offer an option of exporting as different format such as jpg,1
"I would give the original 5 stars! I relied on this app to sync ALL MY COLLEGE NOTES from office 365 and it fails to load any of them now, the original ios onenote worked flawlesdly for je. Microsoft please release an update to allow us to revert back to the original or fix this broken app. Absolutely unacceptable.",1
Love the call quality of this app......works really great...,0
"I would love this if it gave me notifications like echofon did. Like when somebody faved my tweet, etc.",1
"It's gotten worse As other reviewers have said recent updates have turned this formerly outstanding app into a crash mobile.  I'm using another app until it's fixed.  HootSuite is ok, but Tweetcaster should be better.   Right now, it's not.",1
Whatever PAC man,0
"Crashes when I open it & terrible lag I've used this app for over 2 yrs & have loved it until now. Every time I try to reply to someone the app closes. Also, the lag is terrible. This has been the best app until lately.",1
Poop,0
Great game!,0
"Quality of calls varies sometimes but is usually pretty good, even when the signal I poor though I can still communicate easily. Solid app.",1
Great experience with this app. Connects right back with an interrupted call. Pleasure to use. Thank you viber!,1
"Does not work on my LG G4, crashes on the OneNote logo screen Keep trying Microsoft,  sad to see a great app not run well on Android",0
It's fun but they are a few things that I would change. The upgrades take forever.,1
Wow Nice game,0
Awesome! Does just what it says!,0
Worthless if I can't sync FB.,0
"Loud and clear sound, great!",0
"It works perfect except when I'm out of country, then I need good wifi. But I can't really complain, the fact that I can talk to my family oversea for free is priceless.",0
Love it,0
User friendly,1
Great handling multiple accounts... and more TweetCaster is great for handling multiple accounts across multiple devices. Long time Twitter user.  Long time TweetCaster user. Very functional.,1
Nice Not a bad little app,0
"Very good quality, saves you money over those paying phone cards that rip you off",1
"I love Viber, x through this application I can communicate with my family and friends, Thanks Viber,.",0
Excellent app for college students!,0
Great for lectures!!,0
Don't Update Every update makes it worse.,1
Awesome Best game ever,0
"I would give it 5 stars if it weren't for the annoying Sticker notifications.Sometimes I open The software in a hurry, thinking that I have missed calls, while in fact it was only sticker notifications. Fix this and I will give it five stars.",1
"Super app call quality is excellent even in poor connections, thumps up.",0
It is good for calling international good service and free what else we need,1
"This looks like it could be a good game, IF you can get it to run, and keep it running. It failed to load past the SEGA screen on iPhone 3GS and iPhone 3G, and crashes for no apparent  reason on generation 1 iPad. All running iOS 5.1.1",1
So like it,0
Great way to talk to family overseas!,0
Nice apps I ever had It very handy & very usefull....vslue 4 money...,0
"I actually love this app but it crashes and kicks you off at times. I use TweetCaster for iPad so maybe that's why because they recently put the iPad version out. Anyhow they ate working on it and tech reps do send me updates all the time. Other then that, this app is fantastic.. I would have given 5stars if it was not kicking me off but 4 stars are good enough for right now. Hopefully you guys fix these minor issues. Thanx",1
Love it!! Very user friendly!! Great app! :),0
Good product. Worth it! Ok,0
International airline pilot...just used for first time to call wife back in the states from Australia...worked great...excellent sound quality with no interruptions...highly recommend,1
Great for overseas!,0
"great app and i use it a lot, but when someone send his location to me and i try to open it in Maps App, i can see different in location!!!please correct it ...i try it on iPad 2, iPhone 4 , ?Galaxy S and the same problemAlso, there is no iPad version. And this problem is for any communication program in the store!!",1
Great game,0
Cool,0
Awesome!!!,0
Great app Very easy to use!,0
tweetcaster I could give it mire but it's slow and always closes!!!,1
Getting connected with my family over seas for free!!! Thank you Viber!,1
Not good as I expected My yahoo photo of the account doesn't appear... Profile photo of some contacts doesnt appear... Thanks for all the rest and notification for the online contacts doesn't work,1
cant play wen finish downloaded it keep on crashing,1
Awesome It is so endless,0
"Hate it Worked well until the last update, now it crashes constantly and refuses to download images without crashing. I've uninstalled...",1
"Post later In general I think the app is ugly and cluttered however it always works. Except I'm having an issue with sending tweets that are posted for later. Somehow the app changes the time,  for example I want a tweet sent at 1115, it has changed it to ever time except that one. It's been doing this for a few weeks.",1
Tons of great features!,0
"My ballet buddy Mia and I can't call each other cuz we can't hear each other when we call, u really need to fix that, I would give viber a for sure 3 star rating!!!",1
"Bad Laptop/ desktop version is awesome , both for Mac and Windows,  but this ? Wtf",1
Re-sets phone New update keeps causing my phone to re-set. A shame because I like the app. Any plans to resolve this issue?,1
"Good , very clear  , itried inside egypt",0
Freezes a lot and only allows so many followings per hour!,1
Great app,0
Nice,0
I am in the UK and I love this app! And it is saving me money.,0
Awesomeness,0
Just started using this app for classes. Has awesome features and helps me stay very organized.  Great for quit notes and editing.,1
Calls & messages are unavailable. Having this error since last 3 days :(,1
"My wife and I share business and personal notebooks across our iPhones, iPads and MacBooks. I love that I can keep track of notes on all devices and that we can collaborate at the same time on documents. The familiar binder style is easy to organize and utilize. I never could get into Evernote, but am completely devoted to OneNote.",1
"Soo much more convenient than the slow scanner on my computer. And, I can sign important docs and send on the go now!!! Awesome idea and awesome app!!!",1
Best app in the world !!!!!,0
"It worked great on my iPhone 5 with iOS 7. Then I upgraded the iOS eight on my iPhone 5. Now I bought an iPhone six running iOS 8. It installed fine. However, it won't let me sign on.it doesn't send me an access code.",1
Works for me Does what it's supposed to do ...,0
This game is beast,0
"I don't see how Anyone can live without it. Great app!  Photos, location, free calls worldwide, freeze SMS worldwide. What's not to love?",1
messed up This app is pretty awesome but you made that blue bar way too big one star until you fix uninstalling and reinstalling previous version,1
Excellent,0